Gene stable ID	Transcript stable ID
ENSG00000277833	ENST00000620449
ENSG00000275521	ENST00000616780
ENSG00000277317	ENST00000619995
ENSG00000276974	ENST00000610626
ENSG00000278325	ENST00000616364
ENSG00000276686	ENST00000620638
ENSG00000274955	ENST00000619637
ENSG00000278780	ENST00000625163
ENSG00000274724	ENST00000614181
ENSG00000274402	ENST00000619702
ENSG00000274449	ENST00000614334
ENSG00000277551	ENST00000620756
ENSG00000279318	ENST00000623039
ENSG00000273755	ENST00000621173
ENSG00000273528	ENST00000610692
ENSG00000290329	ENST00000610360
ENSG00000277176	ENST00000611586
ENSG00000290379	ENST00000616715
ENSG00000275750	ENST00000612504
ENSG00000263163	ENST00000575439
ENSG00000276357	ENST00000614753
ENSG00000273775	ENST00000613869
ENSG00000275172	ENST00000618920
ENSG00000277193	ENST00000614513
ENSG00000276392	ENST00000617974
ENSG00000278339	ENST00000617157
ENSG00000276099	ENST00000611813
ENSG00000274556	ENST00000620803
ENSG00000262994	ENST00000576223
ENSG00000278051	ENST00000617511
ENSG00000273578	ENST00000612594
ENSG00000269823	ENST00000599578
ENSG00000262710	ENST00000570889
ENSG00000262469	ENST00000573630
ENSG00000276295	ENST00000578047
ENSG00000276930	ENST00000614255
ENSG00000275531	ENST00000583838
ENSG00000278091	ENST00000615320
ENSG00000275321	ENST00000622720
ENSG00000280428	ENST00000624329
ENSG00000273518	ENST00000617680
ENSG00000280030	ENST00000623538
ENSG00000276985	ENST00000614226
ENSG00000275050	ENST00000452874
ENSG00000278474	ENST00000611628
ENSG00000274639	ENST00000613010
ENSG00000275245	ENST00000616783
ENSG00000276154	ENST00000621436
ENSG00000275225	ENST00000611333
ENSG00000277596	ENST00000612095
ENSG00000275059	ENST00000620392
ENSG00000274920	ENST00000611451
ENSG00000274563	ENST00000619788
ENSG00000276552	ENST00000610987
ENSG00000277630	ENST00000616049
ENSG00000275486	ENST00000622515
ENSG00000278710	ENST00000621701
ENSG00000278793	ENST00000616468
ENSG00000277657	ENST00000611193
ENSG00000278329	ENST00000619614
ENSG00000278442	ENST00000613610
ENSG00000274108	ENST00000617593
ENSG00000275288	ENST00000616188
ENSG00000278201	ENST00000620007
ENSG00000275795	ENST00000622026
ENSG00000273794	ENST00000612312
ENSG00000276324	ENST00000613200
ENSG00000275937	ENST00000615969
ENSG00000277240	ENST00000620500
ENSG00000263057	ENST00000576098
ENSG00000278850	ENST00000620550
ENSG00000262647	ENST00000575017
ENSG00000273955	ENST00000616543
ENSG00000275269	ENST00000619385
ENSG00000277885	ENST00000610441
ENSG00000275021	ENST00000622103
ENSG00000262068	ENST00000571440
ENSG00000281107	ENST00000631283
ENSG00000278786	ENST00000610759
ENSG00000262268	ENST00000572137
ENSG00000275970	ENST00000620801
ENSG00000281313	ENST00000627632
ENSG00000290428	ENST00000614373
ENSG00000276011	ENST00000619621
ENSG00000281279	ENST00000627954
ENSG00000263296	ENST00000575409
ENSG00000281777	ENST00000625734
ENSG00000282429	ENST00000633478
ENSG00000278230	ENST00000622286
ENSG00000262121	ENST00000574465
ENSG00000277271	ENST00000618322
ENSG00000261958	ENST00000573911
ENSG00000273502	ENST00000610437
ENSG00000281683	ENST00000625745
ENSG00000263091	ENST00000572903
ENSG00000262191	ENST00000571130
ENSG00000264450	ENST00000585210
ENSG00000281839	ENST00000631340
ENSG00000290488	ENST00000610311
ENSG00000262535	ENST00000630430
ENSG00000275136	ENST00000621702
ENSG00000290500	ENST00000625370
ENSG00000275513	ENST00000611573
ENSG00000276218	ENST00000611207
ENSG00000274438	ENST00000612182
ENSG00000278755	ENST00000619424
ENSG00000273752	ENST00000615903
ENSG00000276498	ENST00000621225
ENSG00000277356	ENST00000618987
ENSG00000276254	ENST00000615390
ENSG00000273522	ENST00000621964
ENSG00000274788	ENST00000614877
ENSG00000275262	ENST00000615308
ENSG00000290532	ENST00000620686
ENSG00000274786	ENST00000610861
ENSG00000274947	ENST00000619771
ENSG00000277153	ENST00000620122
ENSG00000278625	ENST00000616830
ENSG00000276243	ENST00000615630
ENSG00000277552	ENST00000611367
ENSG00000263309	ENST00000574480
ENSG00000274082	ENST00000617877
ENSG00000275168	ENST00000612589
ENSG00000280579	ENST00000628242
ENSG00000278833	ENST00000614022
ENSG00000280271	ENST00000624590
ENSG00000280708	ENST00000631218
ENSG00000278025	ENST00000618798
ENSG00000279566	ENST00000624335
ENSG00000281416	ENST00000631158
ENSG00000267728	ENST00000592900
ENSG00000279614	ENST00000623104
ENSG00000263090	ENST00000572513
ENSG00000262512	ENST00000575341
ENSG00000262749	ENST00000571096
ENSG00000275974	ENST00000369222
ENSG00000263103	ENST00000570916
ENSG00000280460	ENST00000628905
ENSG00000267635	ENST00000574248
ENSG00000274574	ENST00000614774
ENSG00000273990	ENST00000621107
ENSG00000267208	ENST00000593170
ENSG00000262573	ENST00000571104
ENSG00000273757	ENST00000619524
ENSG00000274746	ENST00000614218
ENSG00000263115	ENST00000573261
ENSG00000262896	ENST00000570861
ENSG00000262218	ENST00000576125
ENSG00000263263	ENST00000576511
ENSG00000278079	ENST00000610602
ENSG00000262221	ENST00000573531
ENSG00000262542	ENST00000574737
ENSG00000279280	ENST00000624782
ENSG00000262214	ENST00000576740
ENSG00000276999	ENST00000340708
ENSG00000262946	ENST00000575382
ENSG00000262594	ENST00000570825
ENSG00000279112	ENST00000624555
ENSG00000280218	ENST00000624719
ENSG00000280066	ENST00000623683
ENSG00000275083	ENST00000617957
ENSG00000280830	ENST00000627048
ENSG00000277362	ENST00000613053
ENSG00000277560	ENST00000619663
ENSG00000275255	ENST00000612649
ENSG00000290508	ENST00000615403
ENSG00000274912	ENST00000619180
ENSG00000276395	ENST00000617469
ENSG00000277750	ENST00000614653
ENSG00000262845	ENST00000610983
ENSG00000274891	ENST00000618133
ENSG00000262808	ENST00000573871
ENSG00000262731	ENST00000573155
ENSG00000276465	ENST00000615270
ENSG00000263229	ENST00000573418
ENSG00000262487	ENST00000576929
ENSG00000262376	ENST00000575879
ENSG00000278758	ENST00000613891
ENSG00000280770	ENST00000630900
ENSG00000281723	ENST00000629827
ENSG00000275629	ENST00000616438
ENSG00000262347	ENST00000575715
ENSG00000262520	ENST00000576939
ENSG00000278726	ENST00000617398
ENSG00000274708	ENST00000610860
ENSG00000276212	ENST00000619969
ENSG00000273929	ENST00000617512
ENSG00000290528	ENST00000613103
ENSG00000263243	ENST00000572470
ENSG00000278573	ENST00000615362
ENSG00000278856	ENST00000620568
ENSG00000277850	ENST00000619802
ENSG00000261862	ENST00000572212
ENSG00000282507	ENST00000631812
ENSG00000275353	ENST00000617825
ENSG00000277442	ENST00000614976
ENSG00000262164	ENST00000575391
ENSG00000262616	ENST00000574614
ENSG00000276310	ENST00000610627
ENSG00000261852	ENST00000571136
ENSG00000276808	ENST00000610371
ENSG00000278190	ENST00000614042
ENSG00000263101	ENST00000572132
ENSG00000282534	ENST00000633711
ENSG00000262862	ENST00000570303
ENSG00000277392	ENST00000615880
ENSG00000263236	ENST00000571271
ENSG00000263242	ENST00000576814
ENSG00000266286	ENST00000571574
ENSG00000282469	ENST00000633220
ENSG00000261968	ENST00000574631
ENSG00000276333	ENST00000293937
ENSG00000277028	ENST00000622043
ENSG00000274465	ENST00000620611
ENSG00000282650	ENST00000631788
ENSG00000282069	ENST00000632534
ENSG00000277196	ENST00000621424
ENSG00000281738	ENST00000629443
ENSG00000281250	ENST00000629872
ENSG00000282329	ENST00000632921
ENSG00000278817	ENST00000613204
ENSG00000276017	ENST00000617983
ENSG00000275416	ENST00000621155
ENSG00000275428	ENST00000621609
ENSG00000281651	ENST00000628634
ENSG00000282391	ENST00000631765
ENSG00000281763	ENST00000626678
ENSG00000275637	ENST00000617741
ENSG00000275456	ENST00000612573
ENSG00000278411	ENST00000615218
ENSG00000281020	ENST00000625507
ENSG00000278140	ENST00000618624
ENSG00000278809	ENST00000611608
ENSG00000276371	ENST00000617411
ENSG00000278495	ENST00000611849
ENSG00000275047	ENST00000614053
ENSG00000277375	ENST00000617067
ENSG00000263322	ENST00000575446
ENSG00000282388	ENST00000633911
ENSG00000282112	ENST00000631643
ENSG00000282551	ENST00000632260
ENSG00000282176	ENST00000632787
ENSG00000281496	ENST00000625715
ENSG00000262102	ENST00000572659
ENSG00000282220	ENST00000631922
ENSG00000276938	ENST00000612707
ENSG00000279612	ENST00000624784
ENSG00000267237	ENST00000618096
ENSG00000281577	ENST00000625858
ENSG00000267639	ENST00000592994
ENSG00000281503	ENST00000628723
ENSG00000274706	ENST00000622163
ENSG00000281513	ENST00000631207
ENSG00000278747	ENST00000612506
ENSG00000281062	ENST00000628408
ENSG00000277101	ENST00000618535
ENSG00000275306	ENST00000613951
ENSG00000290324	ENST00000630779
ENSG00000276882	ENST00000610587
ENSG00000281081	ENST00000629915
ENSG00000281157	ENST00000628445
ENSG00000281617	ENST00000628654
ENSG00000278116	ENST00000621273
ENSG00000281464	ENST00000631367
ENSG00000275500	ENST00000620545
ENSG00000281048	ENST00000629063
ENSG00000290333	ENST00000626596
ENSG00000274681	ENST00000617540
ENSG00000276327	ENST00000611996
ENSG00000274597	ENST00000613962
ENSG00000280635	ENST00000629850
ENSG00000277835	ENST00000619022
ENSG00000290403	ENST00000621253
ENSG00000277354	ENST00000619935
ENSG00000278476	ENST00000398929
ENSG00000275495	ENST00000622006
ENSG00000279215	ENST00000624006
ENSG00000281151	ENST00000627948
ENSG00000281104	ENST00000630703
ENSG00000281870	ENST00000630587
ENSG00000280892	ENST00000628127
ENSG00000276625	ENST00000618563
ENSG00000275671	ENST00000614719
ENSG00000278368	ENST00000620062
ENSG00000273918	ENST00000622649
ENSG00000274957	ENST00000612783
ENSG00000278614	ENST00000610427
ENSG00000277567	ENST00000612763
ENSG00000275751	ENST00000612310
ENSG00000282103	ENST00000632928
ENSG00000290470	ENST00000620236
ENSG00000282347	ENST00000632070
ENSG00000282245	ENST00000634082
ENSG00000275511	ENST00000615208
ENSG00000282665	ENST00000632053
ENSG00000281914	ENST00000629146
ENSG00000290534	ENST00000630067
ENSG00000278403	ENST00000622249
ENSG00000262679	ENST00000572413
ENSG00000262536	ENST00000573437
ENSG00000275737	ENST00000617984
ENSG00000282352	ENST00000631400
ENSG00000278481	ENST00000615475
ENSG00000282037	ENST00000632927
ENSG00000282782	ENST00000632267
ENSG00000277428	ENST00000618679
ENSG00000282611	ENST00000632776
ENSG00000276256	ENST00000612465
ENSG00000277163	ENST00000614725
ENSG00000282677	ENST00000632271
ENSG00000282536	ENST00000632466
ENSG00000282715	ENST00000632223
ENSG00000262156	ENST00000623492
ENSG00000278853	ENST00000615657
ENSG00000252379	ENST00000516570
ENSG00000278086	ENST00000618755
ENSG00000262453	ENST00000576811
ENSG00000276086	ENST00000617919
ENSG00000277603	ENST00000613631
ENSG00000273603	ENST00000618071
ENSG00000281232	ENST00000627979
ENSG00000274429	ENST00000614211
ENSG00000275596	ENST00000613155
ENSG00000278229	ENST00000632419
ENSG00000273922	ENST00000618615
ENSG00000281149	ENST00000627840
ENSG00000280986	ENST00000629950
ENSG00000263270	ENST00000574620
ENSG00000281374	ENST00000629561
ENSG00000282233	ENST00000631538
ENSG00000281254	ENST00000627875
ENSG00000282753	ENST00000631713
ENSG00000282649	ENST00000632813
ENSG00000282770	ENST00000632893
ENSG00000281173	ENST00000627610
ENSG00000282596	ENST00000633727
ENSG00000274657	ENST00000610688
ENSG00000282302	ENST00000633557
ENSG00000281077	ENST00000628235
ENSG00000280759	ENST00000626787
ENSG00000282690	ENST00000633666
ENSG00000281076	ENST00000625952
ENSG00000276516	ENST00000611238
ENSG00000275317	ENST00000620484
ENSG00000275051	ENST00000613226
ENSG00000276274	ENST00000516518
ENSG00000277540	ENST00000611244
ENSG00000278063	ENST00000619328
ENSG00000282734	ENST00000633955
ENSG00000277691	ENST00000611466
ENSG00000290491	ENST00000625544
ENSG00000281997	ENST00000633337
ENSG00000290451	ENST00000612276
ENSG00000274980	ENST00000613601
ENSG00000282141	ENST00000632332
ENSG00000282001	ENST00000632213
ENSG00000282480	ENST00000632047
ENSG00000282766	ENST00000631514
ENSG00000280839	ENST00000631298
ENSG00000282152	ENST00000633655
ENSG00000280807	ENST00000625753
ENSG00000281953	ENST00000632171
ENSG00000290512	ENST00000627554
ENSG00000277518	ENST00000627256
ENSG00000278070	ENST00000612805
ENSG00000280679	ENST00000626458
ENSG00000278247	ENST00000611085
ENSG00000278430	ENST00000616354
ENSG00000281737	ENST00000628385
ENSG00000281754	ENST00000626075
ENSG00000280490	ENST00000630789
ENSG00000277046	ENST00000616494
ENSG00000276582	ENST00000618180
ENSG00000276307	ENST00000615715
ENSG00000281567	ENST00000629428
ENSG00000277364	ENST00000444694
ENSG00000273883	ENST00000616378
ENSG00000278508	ENST00000625503
ENSG00000281999	ENST00000633640
ENSG00000282044	ENST00000632263
ENSG00000277389	ENST00000611731
ENSG00000280585	ENST00000625554
ENSG00000278620	ENST00000630519
ENSG00000278373	ENST00000622133
ENSG00000290436	ENST00000613600
ENSG00000280618	ENST00000628954
ENSG00000278302	ENST00000626614
ENSG00000281725	ENST00000631018
ENSG00000281919	ENST00000631255
ENSG00000290446	ENST00000627679
ENSG00000281261	ENST00000629621
ENSG00000281633	ENST00000627821
ENSG00000277069	ENST00000616205
ENSG00000281176	ENST00000629541
ENSG00000262159	ENST00000572611
ENSG00000262592	ENST00000573768
ENSG00000262036	ENST00000574532
ENSG00000281690	ENST00000630002
ENSG00000277091	ENST00000410416
ENSG00000281012	ENST00000629858
ENSG00000281111	ENST00000629396
ENSG00000278728	ENST00000633607
ENSG00000275608	ENST00000622416
ENSG00000282606	ENST00000633915
ENSG00000281949	ENST00000633492
ENSG00000282330	ENST00000633342
ENSG00000281995	ENST00000631403
ENSG00000277909	ENST00000616584
ENSG00000281942	ENST00000633007
ENSG00000277205	ENST00000615323
ENSG00000278165	ENST00000629053
ENSG00000274906	ENST00000618115
ENSG00000275009	ENST00000616813
ENSG00000280461	ENST00000626800
ENSG00000281829	ENST00000631036
ENSG00000281618	ENST00000630256
ENSG00000280716	ENST00000626507
ENSG00000281191	ENST00000627584
ENSG00000281830	ENST00000625835
ENSG00000281533	ENST00000628787
ENSG00000281916	ENST00000627559
ENSG00000275517	ENST00000625471
ENSG00000276052	ENST00000611407
ENSG00000279389	ENST00000623152
ENSG00000278788	ENST00000631948
ENSG00000281758	ENST00000629040
ENSG00000281559	ENST00000627292
ENSG00000278821	ENST00000617376
ENSG00000280838	ENST00000628158
ENSG00000281470	ENST00000627514
ENSG00000282752	ENST00000632301
ENSG00000275037	ENST00000615875
ENSG00000262892	ENST00000572768
ENSG00000278432	ENST00000611341
ENSG00000276731	ENST00000613410
ENSG00000277894	ENST00000613274
ENSG00000276279	ENST00000620570
ENSG00000274296	ENST00000613476
ENSG00000276177	ENST00000621304
ENSG00000262860	ENST00000575811
ENSG00000262634	ENST00000571751
ENSG00000275031	ENST00000633913
ENSG00000281945	ENST00000634215
ENSG00000262113	ENST00000572281
ENSG00000273498	ENST00000611434
ENSG00000275326	ENST00000610364
ENSG00000282110	ENST00000632577
ENSG00000274394	ENST00000613587
ENSG00000282201	ENST00000632366
ENSG00000282085	ENST00000633251
ENSG00000282443	ENST00000631838
ENSG00000278277	ENST00000611199
ENSG00000273666	ENST00000621852
ENSG00000276994	ENST00000618313
ENSG00000262132	ENST00000576449
ENSG00000280784	ENST00000628827
ENSG00000280557	ENST00000628637
ENSG00000278692	ENST00000618870
ENSG00000277445	ENST00000632172
ENSG00000280765	ENST00000627794
ENSG00000275735	ENST00000618364
ENSG00000273546	ENST00000615082
ENSG00000280898	ENST00000627549
ENSG00000275782	ENST00000620701
ENSG00000275522	ENST00000616631
ENSG00000274623	ENST00000612176
ENSG00000276197	ENST00000619317
ENSG00000278691	ENST00000614421
ENSG00000274917	ENST00000611446
ENSG00000273730	ENST00000619779
ENSG00000273937	ENST00000614535
ENSG00000290570	ENST00000621459
ENSG00000262473	ENST00000571089
ENSG00000262148	ENST00000570744
ENSG00000276896	ENST00000615448
ENSG00000262911	ENST00000615701
ENSG00000281486	ENST00000627224
ENSG00000280815	ENST00000629349
ENSG00000278489	ENST00000612541
ENSG00000278361	ENST00000617666
ENSG00000281240	ENST00000627970
ENSG00000278659	ENST00000612137
ENSG00000274404	ENST00000612056
ENSG00000281537	ENST00000628019
ENSG00000281783	ENST00000629833
ENSG00000281828	ENST00000631163
ENSG00000275754	ENST00000616594
ENSG00000281846	ENST00000630872
ENSG00000281422	ENST00000628100
ENSG00000281733	ENST00000626916
ENSG00000280700	ENST00000625404
ENSG00000276062	ENST00000622446
ENSG00000276377	ENST00000612527
ENSG00000275920	ENST00000620564
ENSG00000275617	ENST00000622637
ENSG00000282814	ENST00000633757
ENSG00000282090	ENST00000631630
ENSG00000277068	ENST00000629556
ENSG00000276143	ENST00000621722
ENSG00000275855	ENST00000612716
ENSG00000281489	ENST00000626892
ENSG00000278210	ENST00000619083
ENSG00000282126	ENST00000633580
ENSG00000281645	ENST00000629767
ENSG00000280737	ENST00000627030
ENSG00000273508	ENST00000611851
ENSG00000277291	ENST00000618541
ENSG00000281801	ENST00000631278
ENSG00000277113	ENST00000610467
ENSG00000278429	ENST00000626939
ENSG00000275102	ENST00000620813
ENSG00000281658	ENST00000630608
ENSG00000273793	ENST00000625578
ENSG00000274320	ENST00000620574
ENSG00000278759	ENST00000633032
ENSG00000290481	ENST00000618143
ENSG00000282755	ENST00000633171
ENSG00000276565	ENST00000617253
ENSG00000282514	ENST00000631667
ENSG00000276228	ENST00000618316
ENSG00000280787	ENST00000629080
ENSG00000274042	ENST00000632596
ENSG00000276856	ENST00000620361
ENSG00000290487	ENST00000631065
ENSG00000275049	ENST00000610645
ENSG00000262795	ENST00000573079
ENSG00000275338	ENST00000611004
ENSG00000281356	ENST00000626194
ENSG00000277400	ENST00000613230
ENSG00000274847	ENST00000400754
ENSG00000274166	ENST00000633133
ENSG00000290526	ENST00000630602
ENSG00000280476	ENST00000625923
ENSG00000274040	ENST00000613772
ENSG00000273673	ENST00000631659
ENSG00000280500	ENST00000626831
ENSG00000290432	ENST00000630107
ENSG00000261846	ENST00000570799
ENSG00000282457	ENST00000633425
ENSG00000262411	ENST00000573278
ENSG00000263127	ENST00000571381
ENSG00000262466	ENST00000570746
ENSG00000290468	ENST00000632427
ENSG00000282378	ENST00000633061
ENSG00000282485	ENST00000631935
ENSG00000282214	ENST00000632256
ENSG00000282209	ENST00000633537
ENSG00000274018	ENST00000616605
ENSG00000226463	ENST00000421027
ENSG00000277374	ENST00000612925
ENSG00000281122	ENST00000630351
ENSG00000282464	ENST00000632303
ENSG00000278633	ENST00000619792
ENSG00000290504	ENST00000633632
ENSG00000281775	ENST00000625428
ENSG00000278066	ENST00000620795
ENSG00000281687	ENST00000629440
ENSG00000281753	ENST00000629707
ENSG00000280541	ENST00000630590
ENSG00000282183	ENST00000632281
ENSG00000281216	ENST00000629409
ENSG00000290533	ENST00000631666
ENSG00000272603	ENST00000609550
ENSG00000280750	ENST00000627600
ENSG00000281019	ENST00000627728
ENSG00000281060	ENST00000628244
ENSG00000273651	ENST00000619115
ENSG00000224229	ENST00000441737
ENSG00000263160	ENST00000573374
ENSG00000273635	ENST00000619770
ENSG00000282531	ENST00000631467
ENSG00000280613	ENST00000628060
ENSG00000273785	ENST00000629261
ENSG00000276455	ENST00000621975
ENSG00000278846	ENST00000612983
ENSG00000281946	ENST00000632564
ENSG00000281976	ENST00000634190
ENSG00000280556	ENST00000625579
ENSG00000273831	ENST00000611111
ENSG00000274192	ENST00000621497
ENSG00000263141	ENST00000574159
ENSG00000273969	ENST00000622709
ENSG00000280880	ENST00000631356
ENSG00000281542	ENST00000627084
ENSG00000291160	ENST00000631984
ENSG00000282058	ENST00000631394
ENSG00000241408	ENST00000429554
ENSG00000263314	ENST00000572040
ENSG00000282377	ENST00000633664
ENSG00000236927	ENST00000420495
ENSG00000276485	ENST00000619605
ENSG00000282516	ENST00000633465
ENSG00000262938	ENST00000573131
ENSG00000282731	ENST00000633000
ENSG00000282587	ENST00000632568
ENSG00000291161	ENST00000633031
ENSG00000263140	ENST00000575401
ENSG00000276374	ENST00000621502
ENSG00000280821	ENST00000627506
ENSG00000277365	ENST00000610887
ENSG00000278688	ENST00000613800
ENSG00000277278	ENST00000612410
ENSG00000274801	ENST00000612625
ENSG00000282084	ENST00000632540
ENSG00000282581	ENST00000634051
ENSG00000276767	ENST00000613384
ENSG00000274700	ENST00000617112
ENSG00000274122	ENST00000615524
ENSG00000276005	ENST00000618089
ENSG00000291162	ENST00000633127
ENSG00000272835	ENST00000607293
ENSG00000290583	ENST00000614323
ENSG00000280072	ENST00000625183
ENSG00000276920	ENST00000616539
ENSG00000273194	ENST00000606805
ENSG00000274112	ENST00000615504
ENSG00000280621	ENST00000628767
