Gene	log10_ci_low	log10_ci_high	log10_map	group	group2	Ensembl_transcript_id
ABCA5	-4.63323472	-1.47157311	-2.13913802	Autosome	Autosome	ENST00000392676
ABCA6	-5.99867603	-2.0172683	-3.25777043	Autosome	Autosome	ENST00000284425
ABCA7	-5.59117156	-1.86894499	-2.7191499	Autosome	Autosome	ENST00000263094
ABCA8	-5.84466795	-1.90977917	-2.74847485	Autosome	Autosome	ENST00000269080
ABCA9	-5.76667088	-2.14840031	-3.13529073	Autosome	Autosome	ENST00000340001
ABCB1	-1.77605085	-1.2043661	-1.47771537	Autosome	Autosome	ENST00000265724
ABCB10	-5.61342791	-1.40555581	-1.98054454	Autosome	Autosome	ENST00000344517
ABCB11	-1.99207448	-1.35183969	-1.62190923	Autosome	Autosome	ENST00000263817
ABCB4	-1.72746228	-1.15184876	-1.43324272	Autosome	Autosome	ENST00000265723
ABCB5	-6.08540917	-2.58441324	-3.53243574	Autosome	Autosome	ENST00000404938
ABCB6	-6.11295647	-2.13825449	-3.42569375	Autosome	Autosome	ENST00000265316
ABCB7	-5.86273822	-2.31520617	-3.16373053	non-par X	X (Other non-PAR)	ENST00000253577
ABCB8	-5.58727655	-1.41728852	-2.11146013	Autosome	Autosome	ENST00000358849
ABCB9	-4.25365545	-1.05641063	-1.68742994	Autosome	Autosome	ENST00000542678
ABCC1	-1.9706179	-1.38284043	-1.63966071	Autosome	Autosome	ENST00000399410
ABCC10	-5.83912852	-1.87940467	-2.7092455	Autosome	Autosome	ENST00000372530
ABCC11	-6.06206218	-2.89198915	-4.82805422	Autosome	Autosome	ENST00000394747
ABCC12	-6.11598815	-2.81172369	-4.63791985	Autosome	Autosome	ENST00000311303
ABCC2	-5.82779021	-1.94113143	-2.85234354	Autosome	Autosome	ENST00000370449
ABCC3	-5.93439037	-1.94201754	-2.73557539	Autosome	Autosome	ENST00000285238
ABCC4	-1.92856599	-1.32530272	-1.60851288	Autosome	Autosome	ENST00000376887
ABCC5	-1.57210024	-1.00044007	-1.31387437	Autosome	Autosome	ENST00000334444
ABCC6	-5.99789562	-2.19764377	-3.45718391	Autosome	Autosome	ENST00000205557
ABCC8	-5.37752644	-1.79353347	-2.52017317	Autosome	Autosome	ENST00000389817
ABCC9	-2.66611245	-1.52047219	-1.89783504	Autosome	Autosome	ENST00000261200
ABCD1	-1.21498057	-0.05832955	-0.49095954	non-par X	X (Other non-PAR)	ENST00000218104
ABCD2	-5.64390607	-1.4395675	-2.01048632	Autosome	Autosome	ENST00000308666
ABCD3	-1.76071847	-1.11938318	-1.43691262	Autosome	Autosome	ENST00000370214
ABCD4	-5.76466572	-1.64574206	-2.23269891	Autosome	Autosome	ENST00000356924
ABCE1	-1.00444625	-0.06447399	-0.48108219	Autosome	Autosome	ENST00000296577
ABCF1	-2.51171567	-1.42219507	-1.81269477	Autosome	Autosome	ENST00000326195
ABCF2	-1.36318167	-0.42150305	-0.94994332	Autosome	Autosome	ENST00000222388
ABCF3	-5.61229497	-1.53444292	-2.20155138	Autosome	Autosome	ENST00000429586
ABCG1	-2.53717245	-1.07618544	-1.59155723	Autosome	Autosome	ENST00000361802
ABCG2	-6.03482817	-2.11516555	-3.27356057	Autosome	Autosome	ENST00000237612
ABCG4	-6.10126103	-2.01485896	-2.81682904	Autosome	Autosome	ENST00000307417
ABCG5	-6.14215532	-2.21637981	-3.33033932	Autosome	Autosome	ENST00000260645
ABCG8	-6.05420463	-2.22358169	-3.59615603	Autosome	Autosome	ENST00000272286
ABHD1	-6.08233815	-2.09848896	-2.97570285	Autosome	Autosome	ENST00000316470
ABHD10	-6.05726339	-1.87580267	-2.71612457	Autosome	Autosome	ENST00000273359
ABHD11	-6.00421773	-1.47769711	-2.05194803	Autosome	Autosome	ENST00000222800
ABHD12	-3.72174025	-1.1472874	-1.7245299	Autosome	Autosome	ENST00000376542
ABHD12B	-6.2014273	-2.8912526	-4.48438481	Autosome	Autosome	ENST00000337334
ABHD13	-1.46918877	-0.09468848	-0.6677813	Autosome	Autosome	ENST00000375898
ABHD14A	-6.11696904	-1.81042284	-2.4670263	Autosome	Autosome	ENST00000273596
ABHD14A-ACY1	-5.86661036	-1.54671788	-2.14065591	Autosome	Autosome	ENST00000463937
ABHD14B	-6.19890042	-2.28832014	-4.58807658	Autosome	Autosome	ENST00000483233
ABHD15	-6.16559488	-2.20256475	-3.51599834	Autosome	Autosome	ENST00000307201
ABHD16A	-1.85380379	-1.08973032	-1.45725037	Autosome	Autosome	ENST00000395952
ABHD16B	-6.20971343	-2.28113684	-3.61377659	Autosome	Autosome	ENST00000369916
ABHD17A	-1.63591381	-0.08107248	-0.76259421	Autosome	Autosome	ENST00000250974
ABHD17B	-1.47070961	-0.09298896	-0.73333799	Autosome	Autosome	ENST00000377041
ABHD17C	-1.71658971	-0.05634018	-0.80472091	Autosome	Autosome	ENST00000258884
ABHD2	-1.2662377	-0.09116892	-0.61419657	Autosome	Autosome	ENST00000352732
ABHD3	-6.18368778	-2.21190291	-3.30228915	Autosome	Autosome	ENST00000289119
ABHD4	-5.673148	-1.49199331	-2.0618973	Autosome	Autosome	ENST00000428304
ABHD5	-4.24599594	-1.14689835	-1.74235217	Autosome	Autosome	ENST00000458276
ABHD6	-6.02474709	-1.65758261	-2.2869455	Autosome	Autosome	ENST00000478253
ABHD8	-1.25892812	-0.0875094	-0.60040491	Autosome	Autosome	ENST00000247706
ABI1	-1.44107148	-0.30008966	-0.89349421	Autosome	Autosome	ENST00000376142
ABI2	-1.87361757	-0.78596676	-1.34457003	Autosome	Autosome	ENST00000261017
ABI3	-5.69017422	-1.14253438	-1.78000707	Autosome	Autosome	ENST00000225941
ABI3BP	-4.84633448	-1.42320048	-2.0964125	Autosome	Autosome	ENST00000284322
ABL1	-0.95870793	-0.06274853	-0.48163198	Autosome	Autosome	ENST00000372348
ABL2	-6.00579093	-2.03750801	-3.03056196	Autosome	Autosome	ENST00000502732
ABLIM1	-1.46129065	-0.60529134	-1.05624763	Autosome	Autosome	ENST00000277895
ABLIM2	-1.77028276	-1.04917224	-1.40935309	Autosome	Autosome	ENST00000447017
ABLIM3	-2.2320529	-1.42393406	-1.71940251	Autosome	Autosome	ENST00000506113
ABR	-1.79951496	-1.01630913	-1.40213051	Autosome	Autosome	ENST00000302538
ABRA	-4.51883787	-0.68811073	-1.5083768	Autosome	Autosome	ENST00000311955
ABRACL	-5.36449157	-0.00769538	-0.93399522	Autosome	Autosome	ENST00000367660
ABT1	-5.54224094	-0.36566883	-1.35590636	Autosome	Autosome	ENST00000274849
ABTB1	-6.11671531	-2.6818642	-3.76453556	Autosome	Autosome	ENST00000232744
ABTB2	-1.71421383	-0.9245046	-1.32833719	Autosome	Autosome	ENST00000435224
AC002310.13	-6.24542471	-2.30061189	-4.43780162	Autosome	Autosome	ENST00000568114
AC002553.1	-6.09752397	-0.25644025	-1.18312943	Autosome	Autosome	ENST00000442828
AC003002.4	-5.84923783	-0.12279395	-1.04289153	Autosome	Autosome	ENST00000597658
AC003002.6	-5.61134931	-0.03551274	-0.9905247	Autosome	Autosome	ENST00000596400
AC003006.7	-5.88611871	-0.1345719	-1.09811273	Autosome	Autosome	ENST00000594684
AC003043.1	-6.22331474	-0.40594713	-1.68630945	Autosome	Autosome	ENST00000597382
AC004076.7	-6.19232479	-0.33868517	-1.22525583	Autosome	Autosome	ENST00000597410
AC004381.6	-5.97940107	-1.83743314	-2.51663371	Autosome	Autosome	ENST00000261377
AC005003.1	-6.14708005	-0.30484744	-1.19198426	Autosome	Autosome	ENST00000504184
AC005358.1	-1.10839295	-0.07509989	-0.54773376	Autosome	Autosome	ENST00000609971
AC005481.5	-6.16459802	-0.30365754	-1.23642869	Autosome	Autosome	ENST00000409610
AC005493.1	-6.20696301	-0.35642539	-1.44142139	Autosome	Autosome	ENST00000399077
AC005544.1	-6.18781142	-0.31478779	-1.24733395	Autosome	Autosome	ENST00000375684
AC005549.3	-6.25578484	-0.41744625	-1.5713125	Autosome	Autosome	ENST00000601918
AC005609.1	-6.15572508	-1.268412	-2.18442594	Autosome	Autosome	ENST00000502505
AC006435.1	-6.22720928	-2.4107813	-4.09018733	Autosome	Autosome	ENST00000609667
AC006486.1	-6.16300875	-0.29237442	-1.18218767	Autosome	Autosome	ENST00000378108
AC006486.9	-1.87278836	-0.0351657	-0.79387625	Autosome	Autosome	ENST00000594664
AC006538.4	-6.11588947	-0.27024203	-1.20926571	Autosome	Autosome	ENST00000586572
AC006946.15	-3.95557097	-0.00718707	-0.8874361	Autosome	Autosome	ENST00000441544
AC007040.11	-6.18319606	-2.23265383	-3.42115157	Autosome	Autosome	ENST00000606025
AC007204.1	-6.21308108	-1.89964512	-3.27630435	Autosome	Autosome	ENST00000595282
AC007956.1	-6.19199049	-1.43489154	-2.4773167	Autosome	Autosome	ENST00000338772
AC009041.2	-6.23058637	-0.39163112	-4.56190102	Autosome	Autosome	ENST00000601510
AC009065.1	-6.22100527	-2.49900422	-4.37048149	Autosome	Autosome	ENST00000454671
AC009802.1	-6.225169	-0.37602912	-1.69025566	Autosome	Autosome	ENST00000599868
AC010336.1	-6.22959345	-2.40238363	-3.66085886	Autosome	Autosome	ENST00000539278
AC011308.1	-6.19871315	-0.34797537	-1.38600949	Autosome	Autosome	ENST00000601086
AC011530.4	-6.2227344	-2.37163243	-4.62823509	Autosome	Autosome	ENST00000596586
AC011997.1	-6.13505072	-1.79683562	-3.98546043	Autosome	Autosome	ENST00000409845
AC013468.1	-6.20928916	-0.37046476	-1.61868044	Autosome	Autosome	ENST00000424876
AC015989.1	-6.21171911	-0.37320218	-1.80322432	Autosome	Autosome	ENST00000400312
AC017028.1	-5.85725881	-0.12841382	-1.04259121	Autosome	Autosome	ENST00000396489
AC018867.1	-6.21778898	-0.3769279	-1.54793548	Autosome	Autosome	ENST00000396985
AC018867.2	-6.17133959	-0.34763532	-1.35859621	Autosome	Autosome	ENST00000595956
AC019206.1	-6.04789393	-0.52729402	-3.02005581	Autosome	Autosome	ENST00000599032
AC022400.2	-6.24208157	-0.43791713	-4.51811621	Autosome	Autosome	ENST00000595757
AC022532.1	-6.09300712	-0.63130669	-1.5398117	Autosome	Autosome	ENST00000420338
AC024592.12	-5.47429432	-0.01742647	-0.95805948	Autosome	Autosome	ENST00000586349
AC026202.1	-6.16694766	-1.43241742	-3.49373775	Autosome	Autosome	ENST00000600805
AC026407.1	-6.18787656	-2.08981676	-4.02282194	Autosome	Autosome	ENST00000599823
AC027763.2	-6.02487341	-0.22224759	-1.12096105	Autosome	Autosome	ENST00000575889
AC037459.4	-5.91228754	-1.25719857	-1.85685988	Autosome	Autosome	ENST00000450780
AC068533.7	-6.1198269	-1.98914209	-3.32445295	Autosome	Autosome	ENST00000450043
AC069368.3	-5.80873182	-1.41993035	-1.97990703	Autosome	Autosome	ENST00000437723
AC073063.1	-6.19990306	-0.35957594	-1.43736501	Autosome	Autosome	ENST00000398089
AC073569.1	-6.2456328	-0.41507547	-4.83760003	Autosome	Autosome	ENST00000598624
AC073610.5	-5.74900283	-0.07850438	-1.02595213	Autosome	Autosome	ENST00000537495
AC087645.1	-5.43461601	-0.0012802	-0.90203417	Autosome	Autosome	ENST00000600484
AC090427.1	-6.04010246	-0.51211341	-2.69286503	Autosome	Autosome	ENST00000596056
AC093157.1	-6.15306209	-0.3114274	-1.21421248	Autosome	Autosome	ENST00000593496
AC103809.2	-5.97013374	-0.18419474	-1.18198347	Autosome	Autosome	ENST00000599136
AC104534.3	-1.42362965	-0.09629705	-0.73287493	Autosome	Autosome	ENST00000594769
AC110615.1	-6.09154746	-0.2620896	-1.15419661	Autosome	Autosome	ENST00000599764
AC112205.1	-6.2149353	-0.37077962	-1.69562683	Autosome	Autosome	ENST00000599797
AC114494.1	-6.20033849	-0.3186408	-1.28473257	Autosome	Autosome	ENST00000596131
AC120194.1	-6.24756021	-0.40523684	-1.94508577	Autosome	Autosome	ENST00000391684
AC121757.1	-6.14204594	-0.29357515	-1.18985056	Autosome	Autosome	ENST00000594763
AC135048.1	-6.10862922	-0.25676047	-1.19105163	Autosome	Autosome	ENST00000602217
AC136604.1	-6.24835816	-0.39090891	-1.48186084	Autosome	Autosome	ENST00000425471
ACAA1	-5.91819618	-1.69321872	-2.31690587	Autosome	Autosome	ENST00000333167
ACAA2	-6.00400207	-1.66715171	-2.26084408	Autosome	Autosome	ENST00000285093
ACACA	-1.28325785	-0.77046069	-1.0560741	Autosome	Autosome	ENST00000353139
ACACB	-4.25098539	-1.69992503	-2.54012403	Autosome	Autosome	ENST00000338432
ACAD10	-5.93674049	-1.94544689	-2.92974965	Autosome	Autosome	ENST00000455480
ACAD11	-6.07771422	-2.80487061	-3.91024207	Autosome	Autosome	ENST00000264990
ACAD8	-6.1077217	-2.13111182	-3.18411211	Autosome	Autosome	ENST00000281182
ACAD9	-5.68292185	-1.50570796	-2.08211296	Autosome	Autosome	ENST00000308982
ACADL	-6.19072012	-2.24424486	-3.5512823	Autosome	Autosome	ENST00000233710
ACADM	-5.7942949	-1.51640462	-2.09191086	Autosome	Autosome	ENST00000420607
ACADS	-6.03534982	-1.72945026	-2.56349515	Autosome	Autosome	ENST00000242592
ACADSB	-6.06009803	-2.08217677	-3.38684842	Autosome	Autosome	ENST00000358776
ACADVL	-3.29570574	-1.14393164	-1.76111581	Autosome	Autosome	ENST00000543245
ACAN	-1.05354021	-0.18806033	-0.60497863	Autosome	Autosome	ENST00000439576
ACAP1	-1.87475506	-1.09623691	-1.46143902	Autosome	Autosome	ENST00000158762
ACAP2	-1.54960979	-0.82879873	-1.20895853	Autosome	Autosome	ENST00000326793
ACAP3	-2.06677317	-1.15316589	-1.55138053	Autosome	Autosome	ENST00000354700
ACAT1	-5.95557569	-1.60421551	-2.18060376	Autosome	Autosome	ENST00000265838
ACAT2	-6.13468615	-2.00477947	-3.44199921	Autosome	Autosome	ENST00000367048
ACBD3	-1.90159306	-0.99508181	-1.41575043	Autosome	Autosome	ENST00000366812
ACBD4	-6.03848326	-1.80484264	-2.5604379	Autosome	Autosome	ENST00000431281
ACBD5	-6.06699564	-1.97850443	-2.73210629	Autosome	Autosome	ENST00000396271
ACBD6	-6.01945879	-1.60878418	-2.24431393	Autosome	Autosome	ENST00000367595
ACBD7	-6.21360562	-2.38330304	-4.48515516	Autosome	Autosome	ENST00000356189
ACCS	-6.12947229	-2.0442925	-2.83723291	Autosome	Autosome	ENST00000263776
ACCSL	-6.20973273	-2.31374655	-3.74265344	Autosome	Autosome	ENST00000378832
ACD	-6.15530545	-2.2044616	-3.30433022	Autosome	Autosome	ENST00000393919
ACE	-5.78311212	-1.79857927	-2.65576266	Autosome	Autosome	ENST00000290866
ACE2	-1.26658595	-0.20514624	-0.7621018	non-par X	X (Other non-PAR)	ENST00000427411
ACER1	-6.1453235	-1.95585716	-3.84873042	Autosome	Autosome	ENST00000301452
ACER2	-3.03356273	-0.39938674	-1.36111198	Autosome	Autosome	ENST00000340967
ACER3	-4.44968485	-0.86616549	-1.59349325	Autosome	Autosome	ENST00000532485
ACHE	-1.41715082	-0.30362321	-0.83780941	Autosome	Autosome	ENST00000302913
ACIN1	-1.27203809	-0.56290326	-0.94613674	Autosome	Autosome	ENST00000262710
ACKR2	-6.14592293	-1.74123816	-3.03022131	Autosome	Autosome	ENST00000422265
ACKR3	-2.13722993	-0.00776711	-0.79920202	Autosome	Autosome	ENST00000272928
ACKR4	-6.16354412	-2.15553169	-3.39399571	Autosome	Autosome	ENST00000249887
ACLY	-1.72436494	-1.12975868	-1.41616726	Autosome	Autosome	ENST00000352035
ACMSD	-5.71488166	-1.27542566	-2.00532445	Autosome	Autosome	ENST00000356140
ACN9	-6.17916712	-1.86089954	-3.04689094	Autosome	Autosome	ENST00000432641
ACO1	-5.99952484	-2.00354601	-2.93609124	Autosome	Autosome	ENST00000309951
ACO2	-1.7138486	-0.83780459	-1.29699986	Autosome	Autosome	ENST00000216254
ACOT11	-6.12360435	-2.20360912	-3.47336546	Autosome	Autosome	ENST00000371316
ACOT12	-6.01852453	-2.04111547	-3.31447634	Autosome	Autosome	ENST00000307624
ACOT13	-6.17049695	-1.88370592	-3.10830524	Autosome	Autosome	ENST00000230048
ACOT2	-6.15188217	-1.84513814	-2.77044974	Autosome	Autosome	ENST00000238651
ACOT4	-6.21280489	-2.35727943	-3.53048224	Autosome	Autosome	ENST00000326303
ACOT6	-6.19591496	-1.72393401	-2.6506007	Autosome	Autosome	ENST00000381139
ACOT7	-1.33189091	-0.09581926	-0.68363074	Autosome	Autosome	ENST00000377855
ACOT8	-6.20315659	-2.30067378	-3.48805711	Autosome	Autosome	ENST00000217455
ACOT9	-5.93556156	-1.9709094	-2.82238375	non-par X	X (Other non-PAR)	ENST00000379303
ACOX1	-1.90329575	-1.05924113	-1.46993885	Autosome	Autosome	ENST00000293217
ACOX2	-6.02983177	-1.89534584	-2.56052807	Autosome	Autosome	ENST00000302819
ACOX3	-6.15731258	-2.14623998	-3.84323223	Autosome	Autosome	ENST00000356406
ACOXL	-6.07375311	-2.22748649	-3.42827697	Autosome	Autosome	ENST00000439055
ACP1	-5.81522835	-0.73139783	-1.55584443	Autosome	Autosome	ENST00000272067
ACP2	-5.67853805	-1.36389379	-1.93597603	Autosome	Autosome	ENST00000256997
ACP5	-1.47872761	-0.09501789	-0.67378667	Autosome	Autosome	ENST00000592828
ACP6	-5.89959247	-1.46202782	-2.04876464	Autosome	Autosome	ENST00000369238
ACPL2	-5.52448477	-0.97360823	-1.66706157	Autosome	Autosome	ENST00000286353
ACPP	-6.19603982	-2.24870406	-3.38044753	Autosome	Autosome	ENST00000351273
ACPT	-6.11489469	-1.96313234	-3.17659684	Autosome	Autosome	ENST00000270593
ACR	-6.09532151	-1.6860671	-2.33786993	Autosome	Autosome	ENST00000216139
ACRBP	-4.83098166	-1.29511652	-1.8567364	Autosome	Autosome	ENST00000229243
ACRC	-1.94312319	-0.48447602	-1.20172804	non-par X	X (Other non-PAR)	ENST00000373695
ACRV1	-6.22047295	-2.27089672	-3.46100908	Autosome	Autosome	ENST00000533904
ACSBG1	-4.15728487	-1.24551478	-1.7984684	Autosome	Autosome	ENST00000258873
ACSBG2	-5.53406927	-1.26097321	-1.96618346	Autosome	Autosome	ENST00000586696
ACSF2	-6.09217628	-2.14058029	-3.65671888	Autosome	Autosome	ENST00000300441
ACSF3	-6.203511	-2.33816596	-3.54985066	Autosome	Autosome	ENST00000317447
ACSL1	-1.60613258	-0.85726105	-1.24811389	Autosome	Autosome	ENST00000515030
ACSL3	-1.94888781	-1.11775325	-1.49293946	Autosome	Autosome	ENST00000357430
ACSL4	-1.50016798	-0.42455897	-1.02806996	non-par X	X (Other non-PAR)	ENST00000340800
ACSL5	-5.75596409	-1.61082805	-2.18234615	Autosome	Autosome	ENST00000356116
ACSL6	-2.59291043	-1.34718056	-1.75697357	Autosome	Autosome	ENST00000379264
ACSM1	-6.03404631	-2.05989041	-3.25941297	Autosome	Autosome	ENST00000307493
ACSM2A	-6.1389957	-2.47508372	-3.86650494	Autosome	Autosome	ENST00000573854
ACSM2B	-6.17624106	-2.3114091	-3.38977159	Autosome	Autosome	ENST00000329697
ACSM3	-6.11219612	-2.39004535	-3.71271187	Autosome	Autosome	ENST00000289416
ACSM4	-6.2645669	-3.28764995	-5.48272053	Autosome	Autosome	ENST00000399422
ACSM5	-6.11453567	-2.15651447	-3.16800878	Autosome	Autosome	ENST00000331849
ACSS1	-5.8577834	-1.66833988	-2.25505469	Autosome	Autosome	ENST00000323482
ACSS2	-5.7795924	-1.67090446	-2.23902798	Autosome	Autosome	ENST00000253382
ACSS3	-6.11882512	-2.1120955	-3.37040728	Autosome	Autosome	ENST00000548058
ACTA1	-6.17112345	-2.11996627	-3.47263885	Autosome	Autosome	ENST00000366684
ACTA2	-1.30014186	-0.09102419	-0.61223433	Autosome	Autosome	ENST00000458208
ACTB	-1.55947176	-0.08695828	-0.73562586	Autosome	Autosome	ENST00000331789
ACTBL2	-6.23776885	-2.38480373	-3.87089564	Autosome	Autosome	ENST00000423391
ACTC1	-2.94089229	-0.14909681	-1.20745919	Autosome	Autosome	ENST00000290378
ACTG1	-5.92166088	-1.25302843	-1.85956267	Autosome	Autosome	ENST00000575842
ACTG2	-2.1119572	-0.51962142	-1.31515084	Autosome	Autosome	ENST00000409624
ACTL10	-5.7447071	-0.08495114	-1.01978722	Autosome	Autosome	ENST00000330271
ACTL6A	-1.21715416	-0.09020307	-0.54618118	Autosome	Autosome	ENST00000429709
ACTL6B	-1.83471809	-0.88699868	-1.35197059	Autosome	Autosome	ENST00000160382
ACTL7A	-5.83716892	-1.28377811	-1.87864561	Autosome	Autosome	ENST00000333999
ACTL7B	-6.13673393	-1.68054314	-2.53557843	Autosome	Autosome	ENST00000374667
ACTL8	-6.19470202	-0.78153693	-1.71629954	Autosome	Autosome	ENST00000375406
ACTL9	-2.54825001	-0.00627019	-0.81181726	Autosome	Autosome	ENST00000324436
ACTN1	-1.24711887	-0.36498172	-0.82157612	Autosome	Autosome	ENST00000394419
ACTN2	-1.82097397	-1.07141933	-1.42765391	Autosome	Autosome	ENST00000366578
ACTN4	-0.98144198	-0.05998433	-0.43839627	Autosome	Autosome	ENST00000252699
ACTR10	-5.90231045	-1.61379456	-2.22531247	Autosome	Autosome	ENST00000254286
ACTR1A	-1.1196563	-0.07850257	-0.47328115	Autosome	Autosome	ENST00000369905
ACTR1B	-2.48855676	-1.07976977	-1.59540422	Autosome	Autosome	ENST00000289228
ACTR2	-1.11024808	-0.07504479	-0.44716621	Autosome	Autosome	ENST00000377982
ACTR3	-1.17764552	-0.08425885	-0.52843712	Autosome	Autosome	ENST00000263238
ACTR3B	-1.1718493	-0.08382319	-0.50609139	Autosome	Autosome	ENST00000256001
ACTR3C	-6.29287126	-3.43150989	-4.87104015	Autosome	Autosome	ENST00000539352
ACTR5	-6.10582462	-2.0594625	-2.89132882	Autosome	Autosome	ENST00000243903
ACTR6	-6.07344301	-1.78850813	-2.56382646	Autosome	Autosome	ENST00000188312
ACTR8	-5.75589588	-1.68903122	-2.27846307	Autosome	Autosome	ENST00000335754
ACTRT1	-3.99501152	-0.00608429	-0.67404638	non-par X	X (Other non-PAR)	ENST00000371124
ACTRT2	-6.09499007	-1.53793307	-2.59021176	Autosome	Autosome	ENST00000378404
ACTRT3	-6.02058571	-1.26740344	-1.90735415	Autosome	Autosome	ENST00000330368
ACVR1	-1.39518835	-0.2919886	-0.88590634	Autosome	Autosome	ENST00000263640
ACVR1B	-1.09035619	-0.07520258	-0.51983819	Autosome	Autosome	ENST00000541224
ACVR1C	-6.12078444	-2.14707114	-3.46008806	Autosome	Autosome	ENST00000243349
ACVR2A	-1.15353594	-0.08310322	-0.49115415	Autosome	Autosome	ENST00000241416
ACVR2B	-1.71811101	-0.73099297	-1.24715308	Autosome	Autosome	ENST00000352511
ACVRL1	-5.78572457	-1.42752371	-1.99434526	Autosome	Autosome	ENST00000388922
ACY1	-5.70244741	-1.33269319	-1.91460867	Autosome	Autosome	ENST00000404366
ACY3	-6.00603454	-1.37964792	-1.96678324	Autosome	Autosome	ENST00000255082
ACYP1	-5.72806753	-0.07503231	-1.01463342	Autosome	Autosome	ENST00000238618
ACYP2	-6.15715761	-1.95228241	-3.25651756	Autosome	Autosome	ENST00000394666
ADA	-6.15926751	-2.15730989	-3.02484921	Autosome	Autosome	ENST00000372874
ADAD1	-1.8179797	-0.75451671	-1.32367858	Autosome	Autosome	ENST00000296513
ADAD2	-5.36707945	-1.23209139	-1.832199	Autosome	Autosome	ENST00000268624
ADAL	-4.3660616	-0.45627191	-1.41762678	Autosome	Autosome	ENST00000428046
ADAM10	-1.01362907	-0.06366586	-0.43713873	Autosome	Autosome	ENST00000260408
ADAM11	-1.95176973	-1.19442034	-1.53379424	Autosome	Autosome	ENST00000200557
ADAM12	-4.17133834	-1.42156342	-1.92239996	Autosome	Autosome	ENST00000368679
ADAM15	-5.84294779	-1.79435562	-2.47879504	Autosome	Autosome	ENST00000356955
ADAM17	-1.56204646	-0.66697973	-1.14081983	Autosome	Autosome	ENST00000310823
ADAM18	-6.06879381	-2.30016123	-3.27280675	Autosome	Autosome	ENST00000265707
ADAM19	-4.95692415	-1.36069159	-2.02973018	Autosome	Autosome	ENST00000257527
